customer_id,first_name,last_name,email,signup_date,country
C001,John,Doe,john.doe@example.com,2025-01-10,USA
C002,Jane,Smith,jane.smith@example.com,2025-01-15,UK
C003,Alice,Brown,alice.brown@example.com,2025-01-18,CAN
C004,Bob,Johnson,bob.johnson@example.com,2025-01-20,AUS
C005,Charlie,Lee,charlie.lee@example.com,2025-01-22,IND
C006,Mike,Jordan,mike.j@example.com,2025-02-01,USA
C007,Sarah,Connor,sarah.c@example.com,2025-02-02,USA
C008,,Williams,williams@example.com,2025-02-03,UK
C009,Emma,,emma@example.com,2025-02-04,CAN
C010,Olivia,Clark,,2025-02-05,AUS
